"ID";"block";"experience";"STEMContrasts1";"STEMContrasts2";"experienceContrasts";"STEM";"sexContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"typeContrasts";"sex";"nStimuli";"typeOfAlternatives";"hitSum";"incorrectSum";"acc";"accAttempts";"attempts";"fullCorrectTrials";"accScoringSystem"
"id172";"main4";"no";0;1;-1;"nonSTEM";1;1;0;1;"male";2;"mixed";20;1;0.833333333333333;0.952380952380952;21;20;0.833333333333333
"id172";"main5";"no";0;1;-1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";11;13;0.458333333333333;0.458333333333333;24;0;0
"id172";"main6";"no";0;1;-1;"nonSTEM";1;0;1;-1;"male";4;"paired";20;4;0.833333333333333;0.833333333333333;22;9;0.75
"id178";"main1";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";22;2;0.916666666666667;0.916666666666667;24;5;0.833333333333333
"id178";"main2";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";16;5;0.666666666666667;0.761904761904762;20;16;0.666666666666667
"id178";"main3";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";19;5;0.791666666666667;0.791666666666667;24;3;0.5
"id178";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";19;5;0.791666666666667;0.791666666666667;24;7;0.583333333333333
"id178";"main5";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id178";"main6";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";20;4;0.833333333333333;0.833333333333333;24;20;0.833333333333333
"id34";"main1";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";17;3;0.708333333333333;0.85;19;7;0.583333333333333
"id34";"main2";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";19;4;0.791666666666667;0.826086956521739;22;19;0.791666666666667
"id34";"main3";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";21;3;0.875;0.875;24;3;0.5
"id34";"main4";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";19;5;0.791666666666667;0.791666666666667;24;8;0.666666666666667
"id34";"main5";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id34";"main6";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";21;3;0.875;0.875;22;4;0.666666666666667
"id187";"main1";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";23;1;0.958333333333333;0.958333333333333;24;5;0.833333333333333
"id187";"main2";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";23;0;0.958333333333333;1;23;23;0.958333333333333
"id187";"main3";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";22;2;0.916666666666667;0.916666666666667;24;22;0.916666666666667
"id187";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";24;0;1;1;24;12;1
"id187";"main5";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id187";"main6";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";24;0;1;1;24;6;1
"id238";"main1";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";23;1;0.958333333333333;0.958333333333333;24;5;0.833333333333333
"id238";"main2";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";21;3;0.875;0.875;24;4;0.666666666666667
"id238";"main3";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";20;4;0.833333333333333;0.833333333333333;24;9;0.75
"id238";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";17;7;0.708333333333333;0.708333333333333;24;5;0.416666666666667
"id238";"main5";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";21;3;0.875;0.875;24;21;0.875
"id238";"main6";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id198";"main1";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";15;6;0.625;0.714285714285714;20;15;0.625
"id198";"main2";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";22;2;0.916666666666667;0.916666666666667;24;22;0.916666666666667
"id198";"main3";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";15;5;0.625;0.75;20;5;0.416666666666667
